x,y,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,MIN_TEMPERATURE,PROVINCE_CODE,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,MAX_REL_HUMIDITY,TOTAL_RAIN_FLAG,LOCAL_DATE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,STATION_NAME,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,TOTAL_SNOW_FLAG,ID,SNOW_ON_GROUND,MEAN_TEMPERATURE,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,LOCAL_DAY
-116.34455555555556,51.44288888888889,,12,-11.4,BC,24,,0,2021,,11790J1,,,96,,2021-12-12 00:00:00,-5.1,0,YOHO PARK,,,,26.3,,,,,87,,11790J1.2021.12.12,83,-8.3,49,,12
-116.34455555555556,51.44288888888889,,12,-11.1,BC,,,0,2021,,11790J1,,,94,,2021-12-13 00:00:00,-4.8,0,YOHO PARK,,,,25.9,,,,,68,,11790J1.2021.12.13,80,-7.9,,,13
-116.34455555555556,51.44288888888889,,12,-13.1,BC,8,,0,2021,,11790J1,,,94,,2021-12-14 00:00:00,-8.4,0,YOHO PARK,,,,28.8,,,,,82,,11790J1.2021.12.14,86,-10.8,38,,14
-116.34455555555556,51.44288888888889,,12,-16,BC,,,0,2021,,11790J1,,,94,,2021-12-15 00:00:00,-8.7,0,YOHO PARK,,,,30.3,,,,,83,,11790J1.2021.12.15,86,-12.3,,,15
-116.34455555555556,51.44288888888889,,12,-17.2,BC,,,0,2021,,11790J1,,,92,,2021-12-16 00:00:00,-9.1,0,YOHO PARK,,,,31.2,,,,,82,,11790J1.2021.12.16,84,-13.2,,,16
-116.34455555555556,51.44288888888889,,12,-27.2,BC,25,,0,2021,,11790J1,,,88,,2021-12-17 00:00:00,-16.1,0,YOHO PARK,,,,39.6,,,,,62,,11790J1.2021.12.17,83,-21.6,36,,17
-116.34455555555556,51.44288888888889,,12,-17.9,BC,27,,0,2021,,11790J1,,,92,,2021-12-18 00:00:00,-10.6,0,YOHO PARK,,,,32.3,,,,,87,,11790J1.2021.12.18,83,-14.3,50,,18
-116.34455555555556,51.44288888888889,,12,-20.1,BC,25,,0,2021,,11790J1,,,92,,2021-12-19 00:00:00,-8.2,0,YOHO PARK,,,,32.1,,,,,74,,11790J1.2021.12.19,92,-14.1,37,,19
-116.34455555555556,51.44288888888889,M,12,,BC,,M,,2021,M,11790J1,M,,,,2021-12-20 00:00:00,,,YOHO PARK,M,M,M,,M,M,,M,,,11790J1.2021.12.20,90,,,,20
-116.34455555555556,51.44288888888889,,12,-20.1,BC,26,,0,2021,,11790J1,,,89,,2021-12-21 00:00:00,-13.1,2.3,YOHO PARK,,,,34.6,,,,,85,,11790J1.2021.12.21,89,-16.6,56,,21
-116.34455555555556,51.44288888888889,,12,-13.8,BC,26,,0,2021,,11790J1,,,96,,2021-12-22 00:00:00,-5.6,3.1,YOHO PARK,,,,27.7,,,,,87,,11790J1.2021.12.22,92,-9.7,57,,22
-116.34455555555556,51.44288888888889,,12,-9.2,BC,25,,0,2021,,11790J1,,,96,,2021-12-23 00:00:00,-3.9,8,YOHO PARK,,,,24.6,,,,,77,,11790J1.2021.12.23,92,-6.6,52,,23
